survey_id,adm0_name,adm0_iso3,adm1_pcode,adm1_name,adm2_pcode,adm2_name,round,survey_date,weight_final
519550671,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/24/2023 12:00:00 AM,0.48338631
519550673,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/24/2023 12:00:00 AM,0.48338631
519550678,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/24/2023 12:00:00 AM,0.48338631
519550685,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/24/2023 12:00:00 AM,0.48338631
519550694,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/24/2023 12:00:00 AM,0.48338631
519550709,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/24/2023 12:00:00 AM,0.48338631
519550742,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/25/2023 12:00:00 AM,0.48338631
519550748,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/25/2023 12:00:00 AM,0.48338631
519550755,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/25/2023 12:00:00 AM,0.48338631
519550769,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/25/2023 12:00:00 AM,0.48338631
519550780,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/25/2023 12:00:00 AM,0.48338631
519550787,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/25/2023 12:00:00 AM,0.48338631
519550956,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/21/2023 12:00:00 AM,0.48338631
519551057,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/21/2023 12:00:00 AM,0.48338631
519551125,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/24/2023 12:00:00 AM,0.48338631
519551133,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/24/2023 12:00:00 AM,0.48338631
519551136,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/24/2023 12:00:00 AM,0.48338631
519551148,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/24/2023 12:00:00 AM,0.48338631
519551152,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/24/2023 12:00:00 AM,0.48338631
519551154,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/25/2023 12:00:00 AM,0.48338631
519551156,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/25/2023 12:00:00 AM,0.48338631
519551158,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/25/2023 12:00:00 AM,0.48338631
519551162,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/25/2023 12:00:00 AM,0.48338631
519551168,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/25/2023 12:00:00 AM,0.48338631
519551329,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/21/2023 12:00:00 AM,0.48338631
519551549,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/22/2023 12:00:00 AM,0.48338631
519551988,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/22/2023 12:00:00 AM,0.48338631
519566127,Chad,TCD,TD17,Wadi Fira,TD1703,Kobé,6,12/23/2023 12:00:00 AM,1.04451642
519566132,Chad,TCD,TD17,Wadi Fira,TD1703,Kobé,6,12/23/2023 12:00:00 AM,1.04451642
