fies_rawscore,lcsi,shock_noshock,shock_sicknessordeathofhh,shock_lostemplorwork,shock_otherintrahhshock,shock_higherfoodprices,shock_higherfuelprices,shock_mvtrestrict,shock_othereconomicshock,shock_pestoutbreak,shock_plantdisease,shock_animaldisease,shock_napasture,shock_othercropandlivests,shock_coldtemporhail,shock_flood,shock_drought,shock_othernathazard,shock_violenceinsecconf,shock_theftofprodassets,shock_othermanmadehazard,female_headed,hh_size_ordinal,edu_none,edu_primary,edu_secondary,edu_higher,edu_religious_informal,agric_crop_only,agric_livestock_only,agric_both,agric_none,toilet_flush,toilet_pit_latrine,toilet_open_pit,toilet_communal,toilet_other,toilet_none_bush,cluster,survey_id,adm0_name,adm0_iso3,adm1_pcode,adm1_name,adm2_pcode,adm2_name,round,survey_date,weight_final
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,519550671,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/24/2023 12:00:00 AM,0.48338631
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,519550673,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/24/2023 12:00:00 AM,0.48338631
5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,519550678,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/24/2023 12:00:00 AM,0.48338631
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,519550685,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/24/2023 12:00:00 AM,0.48338631
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,519550694,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/24/2023 12:00:00 AM,0.48338631
4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,519550709,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/24/2023 12:00:00 AM,0.48338631
4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,519550742,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/25/2023 12:00:00 AM,0.48338631
5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,519550748,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/25/2023 12:00:00 AM,0.48338631
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,519550755,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/25/2023 12:00:00 AM,0.48338631
5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,519550769,Chad,TCD,TD08,Logone Occidental,TD0803,Guéni,6,12/25/2023 12:00:00 AM,0.48338631
